Customer_ID,Birthdate,Gender,City,Register_Date,first_order_date,total_orders,Client_Type
C2027,1955-07-12,Female,New Reneetown,2021-12-13,2024-11-01,6,Premium
C2028,2001-06-28,Other,South Monica,2021-08-21,2024-10-12,7,Regular
C2029,1976-02-07,Male,North Terrance,2021-10-29,2024-11-24,4,Premium
C2030,2006-11-14,Male,Matthewfurt,2020-09-29,2023-10-16,10,Premium
C2031,1952-12-24,Female,Port Markside,2020-09-06,2024-03-16,6,Regular
C2032,1986-08-22,Male,Finleyfort,2020-04-25,2024-09-08,9,Premium
C2033,1980-08-22,Other,New Caseyport,2021-08-08,2023-06-27,4,Regular
C2034,1946-02-17,Male,Lake Christopher,2022-03-08,2024-10-15,8,Regular
C2035,2006-01-04,Male,Port Cynthiaville,2021-10-28,2023-06-30,8,Regular
C2036,1971-02-09,Female,Jacksonport,2021-06-10,2023-04-18,7,Regular
C2037,1984-07-28,Male,North Markton,2020-09-22,2023-09-30,4,Premium
C2038,1982-09-14,Male,Michaelchester,2020-11-08,2024-04-22,7,Premium
C2039,1989-05-30,Female,East Amanda,2020-08-30,2023-06-17,4,Regular
C2040,1946-02-20,Female,East Gregory,2021-02-02,2023-07-30,5,Premium
C2041,1950-01-03,Male,Harveybury,2022-02-15,2024-07-22,7,Premium
C2042,1988-01-13,Female,Durhamberg,2022-03-15,2023-10-10,2,Regular
C2043,1973-06-18,Female,South Dana,2022-08-30,2024-05-25,9,Regular
C2044,1953-07-12,Female,Scotttown,2022-08-26,2024-09-27,6,Regular
C2045,2003-04-14,Male,Santanaside,2022-06-22,2024-03-28,6,Regular
C2046,1975-09-18,Female,North Scott,2022-01-10,2023-04-25,2,Premium
C2047,1956-08-29,Other,Vanessaport,2020-09-24,2023-04-24,0,Regular
C2048,1947-09-19,Female,Vaughnmouth,2020-05-27,2024-10-09,1,Premium
C2049,1961-12-31,Female,Jamesfurt,2020-09-03,2024-01-09,7,Regular
C2050,1970-02-03,Male,Rodriguezfurt,2021-10-18,2025-01-11,10,Regular
C2051,1966-07-28,Male,Baileyport,2022-08-25,2023-07-20,5,Regular
C2052,1958-09-12,Female,Port Dominiqueview,2020-09-08,2025-02-14,3,Regular
C2053,1975-03-28,Female,New Michelleton,2022-10-31,2024-03-11,4,Regular
C2054,1966-07-15,Female,Wallport,2022-11-02,2024-10-08,8,Regular
C2055,1967-04-06,Male,New Laurie,2021-09-02,2023-07-29,8,Regular
C2056,1996-02-05,Female,Lake James,2021-12-06,2024-04-23,4,Regular
C2057,2004-02-26,Female,Ericaberg,2020-05-06,2023-06-12,3,Regular
C2058,1970-02-04,Female,Lake Debbieport,2021-07-14,2023-10-12,1,Premium
C2059,1963-03-26,Male,Johnsonstad,2022-01-19,2024-02-09,1,Regular
C2060,1995-06-21,Other,North Renee,2021-12-10,2023-06-26,4,Regular
C2061,2000-11-27,Male,Julieburgh,2020-08-26,2024-11-05,3,Regular
C2062,1972-12-25,Male,East Kristin,2022-09-03,2025-01-03,7,Regular
C2063,1961-06-18,Female,Alyssaview,2021-04-29,2023-07-06,2,Premium
C2064,2001-02-09,Female,West Robin,2022-09-22,2023-07-07,10,Regular
C2065,1949-11-13,Female,Coffeyport,2022-07-05,2023-12-17,5,Regular
C2066,1976-04-19,Male,Lindamouth,2021-01-05,2024-01-28,5,Premium
C2067,1945-08-12,Female,East Karenbury,2023-03-17,2025-03-02,5,Regular
C2068,1995-04-08,Female,Coffeyside,2021-11-29,2023-12-06,6,Regular
C2069,1981-01-01,Other,Christopherfurt,2021-01-05,2023-08-02,6,Regular
C2070,1947-11-03,Male,West Amandamouth,2020-11-18,2024-02-09,5,Regular
C2071,1968-02-10,Male,Emilyview,2021-06-08,2024-12-08,1,Regular
C2072,1959-07-22,Male,Carsonstad,2021-07-28,2025-01-08,4,Regular
C2073,1988-07-15,Male,Lake Jesustown,2021-06-07,2024-11-22,8,Premium
C2074,1948-12-18,Female,Rosebury,2022-05-23,2025-02-25,6,Premium
C2075,1997-06-16,Male,Lake Madisonport,2020-11-29,2023-07-30,4,Regular
C2076,1988-08-24,Male,Wilsonton,2020-07-24,2024-08-28,5,Regular
C2077,1947-01-13,Female,West Wendyville,2021-01-01,2024-09-24,3,Premium
C2078,1995-08-15,Female,East Paigeberg,2022-02-21,2023-08-06,4,Regular
C2079,1946-05-29,Male,Chavezside,2021-06-19,2023-06-10,4,Premium
C2080,1961-02-14,Male,Matthewsberg,2022-01-31,2024-06-03,3,Premium
C2081,1957-11-11,Female,Penafort,2021-07-26,2024-06-28,6,Premium
C2082,2001-05-28,Male,Crosbyview,2022-05-09,2023-04-24,6,Regular
C2083,1945-09-06,Male,Lake Mitchellmouth,2020-08-14,2024-08-04,7,Regular
C2084,1986-07-30,Male,Sampsonstad,2021-10-29,2024-09-03,4,Regular
C2085,1954-08-31,Male,Lake Michaelstad,2021-05-13,2023-08-23,0,Premium
C2086,1960-07-12,Female,South Joshuaville,2021-05-05,2024-03-24,4,Regular
C2087,1952-11-19,Male,Davisborough,2022-12-13,2024-01-15,6,Premium
C2088,1976-07-09,Female,North Kristinbury,2022-05-27,2024-10-30,8,Regular
C2089,1989-11-07,Female,Port Anne,2022-10-26,2023-09-30,6,Regular
C2090,1952-01-30,Male,Port Kathyborough,2022-11-30,2024-08-17,4,Regular
C2091,1982-09-03,Male,Port Molly,2021-02-14,2024-11-19,2,Regular
C2092,1959-02-16,Male,Kimtown,2022-03-29,2023-08-13,3,Regular
C2093,1975-12-10,Female,Micheleberg,2020-09-30,2025-04-01,4,Regular
C2094,1991-11-23,Male,New John,2020-11-13,2024-03-02,5,VIP
C2095,1961-09-24,Male,North Donna,2021-08-03,2024-08-08,6,Regular
C2096,1996-06-25,Female,East Alexisbury,2020-04-27,2024-10-02,10,Regular
C2097,1969-05-25,Male,Alfredview,2021-12-22,2024-03-26,2,Regular
C2098,1955-09-18,Male,East Judyhaven,2021-09-15,2025-02-13,5,Premium
C2099,1985-07-11,Male,Lake Brycemouth,2022-12-06,2023-10-03,5,Premium
C2100,1985-08-14,Male,Williamville,2021-11-28,2023-06-24,4,Regular
C2101,1995-03-11,Female,Gordonton,2021-09-10,2025-03-14,7,Premium
C2102,1993-03-06,Male,Stephentown,2022-03-01,2023-07-05,11,Premium
C2103,1952-02-02,Female,South Melaniechester,2021-09-18,2023-08-04,6,Regular
C2104,1997-03-23,Male,South Jennifermouth,2022-02-14,2024-11-22,5,Regular
C2105,2000-01-18,Female,North Marcberg,2023-01-23,2023-07-22,1,Regular
C2106,1955-06-10,Male,East Joshuashire,2022-10-27,2024-07-18,4,Regular
C2107,1965-06-17,Male,Oscarhaven,2020-11-14,2024-11-05,4,Premium
C2108,1951-08-26,Other,Shawnchester,2021-07-27,2024-02-10,8,Regular
C2109,1983-09-04,Female,Port Jacquelineside,2021-08-28,2024-01-16,3,Premium
C2110,1946-01-16,Female,South Shannon,2022-11-10,2024-03-16,8,Regular
C2111,1965-07-10,Male,South Matthew,2023-04-02,2023-12-18,7,Regular
C2112,1983-06-24,Male,Rossville,2021-02-23,2024-12-22,3,Regular
C2113,1990-05-22,Male,Ronaldview,2022-05-01,2023-08-04,5,Regular
C2114,2006-02-01,Female,Stephaniefort,2021-08-18,2023-10-27,3,Premium
C2115,1969-11-01,Male,North Marieland,2021-01-17,2023-11-19,6,Premium
C2116,1971-04-15,Female,Davisstad,2021-12-26,2024-08-30,4,Regular
C2117,1992-12-13,Male,New Brian,2021-08-25,2023-06-22,6,Regular
C2118,1957-10-16,Other,Elizabethchester,2021-07-13,2023-10-27,7,Regular
C2119,1949-06-19,Male,Morganchester,2023-04-01,2024-06-20,3,Regular
C2120,1984-08-02,Female,West Carolinestad,2022-12-26,2024-07-27,3,Regular
C2121,1991-04-17,Male,New Williamberg,2022-05-19,2024-07-27,5,Regular
C2122,2000-10-24,Male,Walkerville,2022-09-28,2024-10-29,1,Regular
C2123,1986-12-24,Female,Meganstad,2021-04-28,2024-08-01,6,Premium
C2124,1960-10-27,Male,Port Joshuabury,2021-09-05,2023-11-25,4,Regular
C2125,1951-03-25,Male,Bruceside,2021-11-22,2024-12-13,3,Regular
C2126,1991-09-27,Other,New Sarahview,2021-06-26,2024-10-05,5,Regular
C2127,1996-11-11,Female,East Joshuaport,2021-12-18,2023-05-08,7,Regular
C2128,1964-10-25,Male,Michaelburgh,2021-11-05,2025-02-04,7,Regular
C2129,2002-02-27,Male,New Diane,2020-10-10,2025-02-03,5,Premium
C2130,1990-11-10,Male,East Joycetown,2022-09-09,2024-09-10,9,Premium
C2131,1985-02-25,Female,Lake Alyssafurt,2021-02-21,2025-02-26,7,Regular
C2132,1999-02-10,Male,Chavezburgh,2022-10-23,2023-12-08,2,Regular
C2133,1952-07-13,Male,Larrymouth,2022-08-12,2023-09-24,10,Regular
C2134,1998-06-24,Male,North Ericton,2021-01-21,2024-05-24,4,Premium
C2135,1982-10-22,Male,West Scottchester,2023-03-12,2024-08-01,7,Regular
C2136,1997-07-21,Female,Lawsonchester,2022-08-19,2024-05-17,5,Regular
C2137,1947-02-02,Male,Jasonhaven,2020-05-28,2023-09-11,7,Regular
C2138,1967-12-03,Female,West Russellport,2022-04-04,2024-11-18,8,Regular
C2139,1980-07-19,Male,Roseport,2021-03-08,2024-02-16,5,Regular
C2140,1973-06-12,Male,East Randallton,2022-02-27,2023-12-03,4,Premium
C2141,1989-04-24,Male,East Kevinborough,2021-07-13,2024-08-31,6,Regular
C2142,1969-07-06,Male,Port Jonathan,2023-03-29,2023-05-30,10,Regular
C2143,1948-12-26,Female,Davidfort,2020-08-02,2024-12-16,4,Regular
C2144,1978-09-22,Female,Thompsonfurt,2022-01-12,2025-03-15,4,Premium
C2145,1988-05-11,Female,New Angelica,2023-02-26,2024-12-24,3,VIP
C2146,1967-07-08,Female,Charleston,2022-06-01,2023-10-20,5,Regular
C2147,1945-02-26,Male,Smithland,2020-11-19,2024-05-06,2,Premium
C2148,2002-02-09,Female,Barbarashire,2022-12-26,2024-02-11,8,Regular
C2149,1972-11-17,Male,Mckinneychester,2021-07-31,2023-07-14,6,Regular
C2150,2000-04-03,Female,Dariustown,2021-04-27,2023-10-22,6,Regular
C2151,1977-08-27,Male,Georgemouth,2021-05-14,2024-05-10,4,Regular
C2152,1951-06-24,Male,Christopherville,2023-02-04,2024-08-25,6,Regular
C2153,1973-10-18,Male,South Brianna,2020-12-12,2024-07-22,3,Regular
C2154,1968-12-10,Male,South Monicamouth,2022-02-03,2023-06-12,4,Regular
C2155,1987-07-19,Male,West Kimberly,2021-11-23,2024-06-01,4,Premium
C2156,2004-12-19,Male,New Cynthiahaven,2020-08-09,2025-03-08,5,Regular
C2157,2000-09-08,Other,Port Michael,2022-03-15,2023-04-27,2,Regular
C2158,1975-07-31,Male,East Curtis,2022-11-01,2024-01-23,3,Regular
C2159,1992-06-05,Male,Jamesberg,2022-05-01,2025-04-12,7,Premium
C2160,1954-09-15,Female,East Stephaniefort,2022-10-08,2023-12-19,8,Regular
C2161,1973-12-06,Female,Webstershire,2021-12-30,2023-07-29,5,Regular
C2162,1956-04-12,Male,Maldonadoshire,2022-07-26,2024-02-12,1,VIP
C2163,1994-03-25,Male,Michellemouth,2022-06-12,2025-02-14,7,Regular
C2164,1979-10-20,Female,South Carlos,2023-03-27,2025-01-28,7,Regular
C2165,1988-07-23,Male,Welchview,2022-01-26,2024-07-02,3,Premium
C2166,1962-09-03,Female,West Williamport,2022-08-09,2024-03-09,7,Regular
C2167,1986-03-17,Female,Hayeston,2020-06-13,2024-01-26,2,Regular
C2168,1999-04-17,Male,Marieland,2021-10-27,2024-06-15,4,Regular
C2169,2006-11-16,Male,New Brookefurt,2023-04-11,2024-09-29,5,Regular
C2170,1980-12-01,Female,Carpenterton,2022-07-30,2023-08-30,6,Regular
C2171,1997-01-03,Female,Stoutshire,2022-10-26,2024-11-30,3,Regular
C2172,1977-03-13,Female,West Cassidy,2023-01-03,2024-04-17,8,Regular
C2173,1975-12-06,Female,North Shannon,2020-08-27,2024-12-06,4,Regular
C2174,1973-12-08,Female,Toniland,2020-10-03,2023-06-13,7,Premium
C2175,2000-06-26,Female,North John,2021-05-07,2023-04-30,2,Regular
C2176,1994-01-15,Female,Ritterhaven,2023-02-02,2024-07-17,5,Regular
C2177,1984-08-12,Female,West Nathan,2023-02-13,2023-06-09,7,Premium
C2178,1962-07-24,Female,Paulmouth,2021-10-20,2023-04-28,5,Regular
C2179,1966-03-24,Female,Port Crystalmouth,2020-12-31,2023-11-07,3,Regular
C2180,2002-04-03,Female,West Codyfurt,2023-01-17,2023-10-02,7,Premium
C2181,1960-12-31,Female,Johnathanberg,2022-11-24,2023-05-18,4,Regular
C2182,2000-10-28,Male,Christopherberg,2020-06-24,2025-04-03,4,Regular
C2183,1950-03-12,Female,Kylefurt,2022-09-08,2023-06-03,3,Premium
C2184,1963-04-11,Female,New Jeanne,2023-01-14,2024-12-21,8,Regular
C2185,2004-04-16,Female,West Angelicamouth,2023-03-05,2024-02-21,5,Regular
C2186,1974-12-21,Female,Lake Jacqueline,2023-01-16,2024-05-15,3,Regular
C2187,1960-11-21,Female,Lake Ellenhaven,2021-12-28,2023-11-26,5,Regular
C2188,1995-05-14,Male,Andrewport,2021-09-14,2024-08-18,3,Regular
C2189,1975-12-02,Male,East Matthew,2022-02-14,2024-10-22,4,Premium
C2190,1983-01-27,Male,Leeberg,2020-09-28,2024-05-11,2,Regular
C2191,1985-10-29,Male,North Kenneth,2020-05-03,2024-12-03,4,Premium
C2192,1989-10-06,Male,New Kellihaven,2020-09-17,2024-03-05,3,Regular
C2193,1970-01-31,Female,Lake Matthewberg,2021-05-23,2024-03-12,7,Premium
C2194,1967-03-10,Male,Mooreburgh,2021-03-27,2024-10-14,4,Premium
C2195,1946-04-01,Female,Lake Samuel,2022-06-19,2024-02-24,5,Regular
C2196,1977-12-07,Male,Diazbury,2022-07-01,2023-06-21,4,Regular
C2197,2002-03-15,Female,Bishopmouth,2022-08-31,2024-08-27,5,Regular
C2198,1966-05-31,Male,New John,2022-10-05,2024-06-07,4,Regular
C2199,1956-09-01,Male,Mckeeborough,2023-03-21,2024-06-08,6,Premium
C2200,1977-06-22,Female,Erikashire,2022-09-27,2024-08-08,9,Premium
C2201,1958-09-24,Female,Murrayport,2021-03-26,2023-08-14,3,Regular
C2202,1968-06-10,Male,Shawchester,2022-03-10,2023-11-19,8,Regular
C2203,1998-08-03,Female,Port James,2021-11-19,2023-06-21,5,Regular
C2204,1961-11-16,Male,Port John,2021-12-15,2023-12-14,1,Regular
C2205,1967-06-16,Male,Sawyerside,2022-04-06,2023-06-18,3,Regular
C2206,1963-04-29,Other,Lake Meghanville,2023-03-08,2024-05-19,5,Premium
C2207,2004-03-14,Female,Christopherburgh,2022-10-18,2025-04-02,4,VIP
C2208,1984-11-11,Male,Shannonhaven,2023-03-25,2023-09-22,6,Regular
C2209,1992-01-05,Female,Port Samuel,2022-06-03,2025-01-04,5,Regular
C2210,2004-03-09,Female,Port Shannon,2020-12-07,2023-08-16,5,Regular
C2211,1963-02-04,Female,Sarahchester,2021-10-04,2024-06-07,4,Regular
C2212,1982-02-12,Male,South Waynebury,2020-05-25,2023-12-27,9,Regular
C2213,1944-12-26,Male,Vangstad,2022-05-06,2024-02-15,6,Regular
C2214,1979-06-14,Female,North Lucas,2020-09-26,2024-07-16,7,Premium
C2215,1957-04-18,Female,Port Jennifermouth,2021-07-19,2024-08-22,3,Regular
C2216,1950-02-13,Female,East Benjamin,2022-01-23,2024-11-30,2,Regular
C2217,1960-09-19,Male,Hortonberg,2020-08-28,2025-01-25,3,Premium
C2218,1993-04-18,Female,Westtown,2020-10-14,2024-09-03,2,Premium
C2219,1971-12-14,Female,North Jonathanberg,2020-11-23,2024-09-27,7,Regular
C2220,1977-07-17,Male,Rodriguezport,2021-10-10,2024-08-29,2,Regular
C2221,1982-01-27,Male,West David,2021-08-14,2023-06-08,5,Regular
C2222,1995-11-21,Female,South Danielle,2021-10-01,2023-12-14,5,Premium
C2223,1960-08-25,Female,Brownfort,2022-03-25,2024-10-11,7,Premium
C2224,1991-04-17,Male,Lake Zacharybury,2021-03-04,2024-03-22,5,Regular
C2225,1976-09-10,Male,West Ruben,2022-07-05,2024-11-04,6,Regular
C2226,1988-04-01,Male,Johnchester,2022-05-07,2025-02-03,7,Premium
C2227,1992-09-25,Male,Lake Elizabeth,2021-10-10,2023-10-20,3,Regular
C2228,1977-09-11,Female,Carloshaven,2022-04-26,2023-06-01,6,Regular
C2229,1974-10-17,Female,South Morganton,2020-09-15,2023-10-24,8,Regular
C2230,1998-04-03,Male,Zavalaview,2022-02-26,2023-06-23,3,Regular
C2231,1945-06-20,Female,West Kristinastad,2023-04-04,2025-04-05,6,Regular
C2232,1950-08-17,Female,Lake Diane,2022-03-20,2024-03-20,5,Premium
C2233,1964-04-26,Female,Port Bonniemouth,2021-08-25,2023-07-17,3,Premium
C2234,1959-05-17,Female,North Michael,2020-07-30,2024-04-04,4,Regular
C2235,1971-10-25,Male,Lisaburgh,2021-07-27,2024-08-05,6,Regular
C2236,1991-05-16,Male,Pollardfort,2020-06-25,2024-08-02,6,Regular
C2237,1960-11-07,Female,Port Dennis,2020-10-12,2023-05-30,7,Regular
C2238,1965-02-17,Female,Johnsonborough,2020-05-22,2023-12-14,6,Regular
C2239,1989-06-23,Male,Port Jameston,2021-10-01,2024-09-16,5,Premium
C2240,1983-11-14,Female,Sarahhaven,2023-01-18,2024-11-14,2,Regular
C2241,1969-05-29,Female,Haysside,2020-10-03,2024-09-10,5,Regular
C2242,1976-07-01,Male,Kingborough,2023-03-04,2024-11-13,9,Regular
C2243,1981-12-16,Female,Michaelton,2020-12-28,2023-09-01,3,Premium
C2244,1980-06-04,Other,Joshuastad,2021-04-30,2023-07-19,9,Premium
C2245,1967-09-09,Other,Prestonmouth,2022-06-27,2023-04-27,2,Premium
C2246,1973-04-01,Male,Morganburgh,2021-01-13,2024-10-18,1,Premium
C2247,1995-01-21,Female,Holtstad,2022-08-22,2023-08-02,4,Regular
C2248,1981-09-30,Female,Lauriechester,2020-12-21,2024-10-13,3,Regular
C2249,1966-10-21,Female,South Carrieburgh,2021-09-13,2023-04-26,4,Regular
C2250,1968-03-27,Other,Manuelland,2022-09-03,2023-08-23,5,Regular
C2251,1992-02-15,Female,Donnaport,2022-02-08,2024-05-07,1,Regular
C2252,1975-03-04,Female,Morrisonchester,2022-04-04,2024-01-12,3,Regular
C2253,1962-09-24,Female,Lake Scott,2021-04-12,2024-05-28,5,Regular
C2254,1965-02-28,Female,Williamsstad,2022-01-06,2024-05-23,3,Regular
C2255,1961-05-27,Male,Hillton,2022-12-21,2024-12-16,12,Regular
C2256,1959-12-26,Male,Lake Danastad,2021-01-28,2025-01-15,2,Premium
C2257,1952-07-03,Male,North Douglas,2021-01-31,2024-10-28,3,Regular
C2258,1993-05-18,Female,Johnsonland,2023-01-06,2023-11-05,4,Regular
C2259,1957-05-26,Male,Port Deanna,2023-02-02,2023-08-25,9,Regular
C2260,1965-10-07,Female,Patrickshire,2022-02-17,2024-01-31,5,Regular
C2261,1952-06-06,Male,New Ericmouth,2021-12-22,2023-07-25,3,Regular
C2262,1994-11-06,Female,Nathanland,2020-06-01,2024-11-20,3,Regular
C2263,1980-10-04,Female,New Michael,2022-11-26,2024-12-14,4,Regular
C2264,1996-02-29,Female,Debrabury,2021-02-17,2025-02-24,4,Regular
C2265,1991-04-06,Male,North Jillfort,2022-03-16,2023-11-12,7,Regular
C2266,1956-11-22,Female,Mcintyreville,2022-10-23,2024-11-07,6,Regular
C2267,1957-04-30,Female,Kimberlymouth,2022-02-13,2025-03-06,3,Regular
C2268,1959-01-08,Male,New Justin,2021-12-12,2023-07-18,6,Regular
C2269,1994-07-23,Female,Gonzalezberg,2020-04-23,2024-12-07,6,Regular
C2270,1977-03-30,Female,South Geraldmouth,2023-04-16,2025-03-16,4,Regular
C2271,1963-02-10,Male,Port Evelynmouth,2021-03-16,2023-05-10,7,Regular
C2272,1993-08-08,Female,Jennaside,2021-03-02,2024-01-03,4,Regular
C2273,1984-06-01,Male,Patriciaburgh,2021-06-23,2025-01-03,7,Regular
C2274,1996-01-11,Male,Port Michael,2023-04-15,2024-03-16,3,Regular
C2275,1979-12-30,Male,North Tracie,2020-07-23,2023-11-15,4,Premium
C2276,1984-11-27,Male,East Kristy,2022-09-30,2024-05-28,7,Premium
C2277,1963-07-21,Male,West Angelastad,2020-09-22,2023-06-06,8,Premium
C2278,1951-02-19,Female,Laraside,2022-07-30,2023-11-08,2,Regular
C2279,2000-12-15,Female,New Nicole,2021-02-01,2024-10-22,9,Regular
C2280,1957-07-03,Female,West Raymondfort,2021-11-06,2024-07-08,6,Regular
C2281,1964-06-15,Female,Hammondshire,2021-09-05,2024-08-17,4,Regular
C2282,1959-10-11,Female,East Teresaland,2021-02-17,2023-06-16,7,Regular
C2283,1968-11-07,Female,Owenshaven,2022-03-28,2024-05-07,2,Regular
C2284,1956-07-04,Male,Davidside,2020-10-11,2024-04-05,2,Premium
C2285,1964-11-11,Male,Port Tammy,2021-05-29,2024-05-18,3,Regular
C2286,1945-04-04,Male,Shawton,2023-02-22,2024-01-22,5,Premium
C2287,1992-06-22,Male,New Ericburgh,2022-05-17,2023-05-31,7,Regular
C2288,1980-08-22,Female,West Sarah,2022-07-15,2024-05-10,4,Regular
C2289,1952-11-28,Male,West Stacey,2023-01-04,2025-02-13,4,Regular
C2290,1962-12-18,Female,Meghanview,2021-08-16,2024-07-01,5,Regular
C2291,1947-05-24,Other,Lake Stephanie,2022-10-31,2023-08-25,5,Premium
C2292,1948-01-03,Female,Davidport,2021-12-11,2024-01-28,4,Regular
C2293,1981-12-13,Male,New Danielleshire,2022-11-22,2023-08-18,5,Regular
C2294,1964-03-05,Male,East Donna,2021-12-17,2023-11-02,6,Premium
C2295,1991-10-03,Female,Meganshire,2022-10-15,2024-12-08,5,Regular
C2296,1952-11-20,Female,Port Michelleland,2020-10-11,2023-07-06,7,VIP
C2297,1987-09-14,Male,Lake Kelliview,2021-10-09,2025-03-12,8,Regular
C2298,2003-05-24,Female,Port Ashley,2021-10-15,2024-07-06,4,Regular
C2299,1995-07-10,Male,South Pamelaside,2022-03-29,2024-09-22,5,Regular
C2300,1977-09-12,Male,Dawnport,2022-12-02,2024-10-30,6,Regular
C2301,1951-04-11,Male,Sanchezfurt,2021-01-10,2023-07-16,9,Regular
C2302,2003-09-07,Male,Shawnton,2023-02-27,2023-10-12,6,Regular
C2303,1945-02-16,Other,South Robert,2021-07-23,2024-11-13,0,Premium
C2304,1983-05-12,Female,Harrisberg,2022-11-27,2024-05-17,4,Premium
C2305,1963-08-24,Male,Michellemouth,2022-10-20,2023-04-19,2,Regular
C2306,1976-03-27,Female,Theresaberg,2020-08-26,2023-05-22,6,Regular
C2307,1976-11-14,Female,Zacharyville,2023-02-25,2025-02-12,9,Regular
C2308,1974-04-08,Female,Johnville,2020-11-11,2025-02-16,0,Regular
C2309,1967-06-25,Male,Shannonberg,2021-08-16,2023-04-27,3,Regular
C2310,1956-11-03,Male,North Kellyfurt,2020-10-17,2023-10-24,0,Regular
C2311,1947-10-16,Male,Wrightburgh,2021-04-22,2023-05-23,8,Regular
C2312,1961-06-23,Male,Sarahmouth,2021-08-04,2024-04-18,2,Regular
C2313,2002-12-08,Male,Port Erik,2020-10-15,2024-01-25,4,VIP
C2314,1976-10-21,Female,Jimenezport,2021-01-26,2024-02-09,4,Regular
C2315,1952-01-22,Male,Johnsonfurt,2021-11-17,2025-04-01,5,Regular
C2316,2000-03-28,Male,Levyborough,2023-03-30,2023-08-12,4,Regular
C2317,1948-09-28,Male,Brandonport,2020-11-22,2023-09-04,3,Regular
C2318,1971-07-25,Male,Harperfort,2022-06-19,2025-04-10,2,Regular
C2319,1977-10-04,Male,Amandaville,2021-12-11,2025-02-12,8,Regular
C2320,1949-05-03,Male,Andersonview,2022-01-26,2023-05-15,4,Premium
C2321,1983-07-24,Male,Kathrynstad,2022-10-30,2024-06-20,5,Regular
C2322,1987-02-16,Male,South Brettside,2020-11-17,2024-12-31,5,Regular
C2323,1991-01-03,Male,West Angela,2022-09-26,2025-03-27,7,VIP
C2324,1947-12-11,Female,South Williamside,2021-12-04,2024-10-23,5,Premium
C2325,1954-08-15,Male,Marciaville,2022-02-03,2024-11-13,8,Regular
C2326,1954-06-13,Male,North Phillip,2021-01-30,2024-09-08,5,Regular
C2327,1999-06-30,Male,Angelastad,2022-05-13,2024-03-08,4,Regular
C2328,1982-08-06,Female,East Carrie,2022-12-30,2023-10-09,6,Regular
C2329,1964-12-20,Male,Porterton,2022-07-30,2023-12-23,5,Regular
C2330,1950-02-03,Female,East Jenniferfort,2023-03-30,2023-10-27,1,Regular
C2331,1961-03-08,Female,Hernandezhaven,2023-01-14,2024-03-06,7,Regular
C2332,1952-05-10,Male,West Sarah,2021-01-11,2025-03-29,4,Regular
C2333,1982-04-09,Female,Franciscoport,2022-08-27,2024-10-28,4,Regular
C2334,1996-04-25,Female,Williamhaven,2021-01-01,2023-12-22,4,Regular
C2335,1972-08-13,Male,Ericksonport,2022-05-17,2023-11-14,6,Regular
C2336,1985-07-22,Male,Cabrerastad,2021-07-09,2025-01-18,6,Regular
C2337,1984-11-10,Female,Emilychester,2020-11-20,2023-06-17,4,Regular
C2338,1998-02-07,Female,Lauratown,2021-02-01,2024-07-04,5,Regular
C2339,1986-05-18,Other,Bakershire,2021-08-18,2024-02-01,4,Regular
