Product_ID,Customer_ID,Time_ID,Payments_ID,Shipments_ID,Campaigns_ID
P1023,C2341,T3040,PM4027,SH5022,CP6013
P1043,C2127,T3483,PM4048,SH5025,CP6015
P1000,C2473,T3259,PM4046,SH5025,CP6009
P1009,C2479,T3440,PM4045,SH5006,CP6014
P1079,C2471,T3083,PM4013,SH5009,CP6003
P1071,C2109,T3045,PM4041,SH5004,CP6011
P1055,C2354,T3439,PM4033,SH5046,CP6009
P1088,C2036,T3670,PM4030,SH5011,CP6001
P1049,C2479,T3518,PM4005,SH5031,CP6003
P1011,C2070,T3437,PM4048,SH5041,CP6019
P1088,C2288,T3135,PM4004,SH5030,CP6005
P1080,C2030,T3182,PM4030,SH5021,CP6013
P1059,C2438,T3708,PM4036,SH5016,CP6002
P1025,C2380,T3171,PM4014,SH5019,CP6014
P1077,C2267,T3589,PM4014,SH5019,CP6000
P1040,C2010,T3689,PM4042,SH5042,CP6018
P1035,C2343,T3538,PM4004,SH5007,CP6000
P1022,C2327,T3119,PM4027,SH5046,CP6012
P1042,C2031,T3280,PM4032,SH5033,CP6007
P1005,C2056,T3307,PM4010,SH5048,CP6017
P1068,C2165,T3707,PM4042,SH5022,CP6002
P1042,C2187,T3276,PM4005,SH5037,CP6017
P1024,C2341,T3529,PM4022,SH5027,CP6019
P1017,C2481,T3294,PM4039,SH5012,CP6008
P1061,C2018,T3052,PM4001,SH5028,CP6005
P1012,C2115,T3431,PM4014,SH5007,CP6019
P1042,C2467,T3051,PM4022,SH5010,CP6001
P1077,C2183,T3727,PM4021,SH5046,CP6003
P1027,C2269,T3071,PM4008,SH5044,CP6017
P1017,C2032,T3027,PM4046,SH5017,CP6006
P1058,C2009,T3468,PM4039,SH5049,CP6010
P1059,C2079,T3546,PM4029,SH5024,CP6004
P1062,C2191,T3400,PM4015,SH5048,CP6007
P1056,C2319,T3200,PM4045,SH5021,CP6010
P1091,C2189,T3610,PM4046,SH5044,CP6019
P1050,C2067,T3465,PM4029,SH5034,CP6019
P1055,C2474,T3651,PM4044,SH5028,CP6014
P1026,C2347,T3594,PM4008,SH5020,CP6002
P1031,C2124,T3559,PM4000,SH5006,CP6006
P1008,C2426,T3378,PM4037,SH5011,CP6007
P1095,C2335,T3176,PM4007,SH5035,CP6010
P1083,C2058,T3051,PM4017,SH5023,CP6009
P1091,C2435,T3078,PM4026,SH5031,CP6019
P1096,C2096,T3384,PM4017,SH5026,CP6008
P1067,C2495,T3575,PM4031,SH5031,CP6014
P1045,C2274,T3007,PM4048,SH5031,CP6019
P1097,C2148,T3213,PM4031,SH5031,CP6004
P1066,C2277,T3024,PM4047,SH5025,CP6014
P1025,C2264,T3449,PM4044,SH5010,CP6003
P1007,C2008,T3456,PM4035,SH5045,CP6004
P1005,C2456,T3460,PM4035,SH5017,CP6014
P1079,C2282,T3197,PM4020,SH5038,CP6016
P1023,C2272,T3093,PM4045,SH5004,CP6007
P1047,C2427,T3718,PM4031,SH5015,CP6018
P1093,C2300,T3436,PM4030,SH5010,CP6008
P1044,C2007,T3526,PM4036,SH5034,CP6009
P1012,C2207,T3689,PM4015,SH5047,CP6004
P1068,C2401,T3377,PM4045,SH5010,CP6009
P1024,C2124,T3586,PM4045,SH5041,CP6000
P1019,C2122,T3103,PM4013,SH5022,CP6003
P1081,C2032,T3679,PM4023,SH5033,CP6004
P1081,C2000,T3626,PM4024,SH5047,CP6006
P1065,C2203,T3038,PM4045,SH5016,CP6004
P1073,C2005,T3457,PM4034,SH5009,CP6019
P1044,C2296,T3363,PM4016,SH5017,CP6007
P1046,C2438,T3134,PM4045,SH5043,CP6016
P1062,C2004,T3373,PM4041,SH5007,CP6000
P1075,C2442,T3231,PM4044,SH5025,CP6017
P1076,C2079,T3038,PM4003,SH5002,CP6011
P1054,C2273,T3046,PM4010,SH5023,CP6002
P1074,C2176,T3035,PM4046,SH5002,CP6019
P1018,C2337,T3094,PM4014,SH5037,CP6013
P1034,C2320,T3360,PM4029,SH5001,CP6015
P1052,C2338,T3524,PM4023,SH5034,CP6017
P1025,C2437,T3145,PM4001,SH5016,CP6009
P1013,C2444,T3367,PM4042,SH5008,CP6014
P1044,C2135,T3064,PM4033,SH5035,CP6009
P1043,C2386,T3227,PM4022,SH5021,CP6000
P1087,C2024,T3519,PM4030,SH5030,CP6018
P1064,C2324,T3554,PM4036,SH5033,CP6001
P1050,C2182,T3180,PM4012,SH5023,CP6012
P1042,C2167,T3500,PM4032,SH5008,CP6015
P1085,C2466,T3596,PM4006,SH5045,CP6007
P1022,C2337,T3154,PM4031,SH5042,CP6002
P1055,C2177,T3534,PM4006,SH5001,CP6018
P1018,C2372,T3626,PM4041,SH5020,CP6013
P1081,C2094,T3434,PM4037,SH5033,CP6010
P1075,C2032,T3098,PM4043,SH5026,CP6011
P1054,C2110,T3615,PM4012,SH5036,CP6010
P1091,C2145,T3371,PM4023,SH5006,CP6010
P1091,C2380,T3562,PM4027,SH5021,CP6017
P1059,C2440,T3361,PM4031,SH5003,CP6009
P1058,C2230,T3111,PM4042,SH5013,CP6015
P1032,C2271,T3452,PM4017,SH5033,CP6007
P1018,C2335,T3168,PM4033,SH5022,CP6005
P1027,C2494,T3583,PM4047,SH5043,CP6018
P1051,C2037,T3138,PM4033,SH5041,CP6012
P1048,C2424,T3230,PM4037,SH5024,CP6014
P1036,C2134,T3238,PM4000,SH5000,CP6012
P1025,C2333,T3252,PM4042,SH5047,CP6000
P1098,C2234,T3435,PM4049,SH5014,CP6001
P1097,C2436,T3560,PM4041,SH5031,CP6012
P1098,C2318,T3421,PM4030,SH5013,CP6001
P1039,C2367,T3302,PM4049,SH5040,CP6010
P1079,C2344,T3071,PM4000,SH5020,CP6012
P1037,C2159,T3262,PM4015,SH5046,CP6009
P1076,C2037,T3221,PM4038,SH5006,CP6014
P1086,C2149,T3076,PM4014,SH5035,CP6000
P1053,C2399,T3061,PM4032,SH5020,CP6013
P1021,C2307,T3470,PM4022,SH5049,CP6009
P1015,C2028,T3156,PM4040,SH5039,CP6017
P1027,C2143,T3124,PM4033,SH5011,CP6010
P1034,C2075,T3160,PM4016,SH5014,CP6006
P1059,C2144,T3540,PM4024,SH5014,CP6014
P1044,C2228,T3625,PM4041,SH5016,CP6002
P1045,C2063,T3590,PM4005,SH5033,CP6001
P1071,C2346,T3534,PM4030,SH5043,CP6007
P1054,C2344,T3105,PM4004,SH5034,CP6007
P1085,C2268,T3130,PM4039,SH5038,CP6010
P1084,C2327,T3356,PM4039,SH5037,CP6015
P1025,C2183,T3684,PM4029,SH5013,CP6001
P1084,C2260,T3001,PM4004,SH5004,CP6004
P1024,C2267,T3232,PM4011,SH5029,CP6006
P1064,C2168,T3368,PM4006,SH5003,CP6019
P1005,C2258,T3250,PM4044,SH5014,CP6012
P1022,C2226,T3107,PM4012,SH5038,CP6001
P1063,C2032,T3275,PM4048,SH5034,CP6002
P1086,C2376,T3179,PM4003,SH5044,CP6008
P1042,C2213,T3724,PM4049,SH5009,CP6009
P1022,C2049,T3292,PM4041,SH5001,CP6012
P1095,C2439,T3583,PM4002,SH5043,CP6012
P1029,C2491,T3174,PM4011,SH5023,CP6004
P1076,C2392,T3122,PM4000,SH5027,CP6006
P1017,C2488,T3226,PM4026,SH5021,CP6016
P1086,C2209,T3443,PM4042,SH5043,CP6014
P1078,C2433,T3427,PM4049,SH5031,CP6004
P1096,C2028,T3082,PM4012,SH5030,CP6006
P1020,C2038,T3657,PM4016,SH5018,CP6001
P1056,C2346,T3631,PM4007,SH5020,CP6017
P1022,C2099,T3064,PM4031,SH5002,CP6009
P1090,C2172,T3280,PM4019,SH5005,CP6000
P1044,C2016,T3390,PM4016,SH5031,CP6013
P1043,C2055,T3427,PM4033,SH5001,CP6018
P1081,C2225,T3617,PM4034,SH5023,CP6015
P1087,C2045,T3106,PM4034,SH5044,CP6018
P1046,C2066,T3547,PM4037,SH5026,CP6005
P1039,C2196,T3658,PM4041,SH5008,CP6011
P1050,C2141,T3261,PM4023,SH5012,CP6002
P1041,C2322,T3158,PM4017,SH5013,CP6006
P1006,C2022,T3264,PM4049,SH5010,CP6002
P1049,C2486,T3467,PM4045,SH5013,CP6016
P1047,C2093,T3201,PM4047,SH5015,CP6014
P1083,C2241,T3154,PM4038,SH5009,CP6018
P1090,C2236,T3012,PM4032,SH5019,CP6018
P1005,C2444,T3296,PM4048,SH5015,CP6010
P1090,C2406,T3497,PM4022,SH5033,CP6019
P1008,C2410,T3596,PM4024,SH5015,CP6001
P1056,C2053,T3244,PM4036,SH5013,CP6006
P1030,C2137,T3299,PM4026,SH5027,CP6018
P1020,C2472,T3361,PM4000,SH5017,CP6006
P1089,C2332,T3353,PM4020,SH5025,CP6009
P1039,C2271,T3520,PM4048,SH5037,CP6011
P1044,C2040,T3385,PM4009,SH5006,CP6017
P1076,C2097,T3311,PM4030,SH5044,CP6005
P1048,C2182,T3413,PM4043,SH5033,CP6019
P1086,C2127,T3277,PM4024,SH5046,CP6007
P1019,C2228,T3714,PM4019,SH5048,CP6004
P1091,C2316,T3592,PM4001,SH5044,CP6002
P1016,C2085,T3355,PM4047,SH5006,CP6001
P1027,C2255,T3524,PM4014,SH5032,CP6005
P1040,C2208,T3015,PM4027,SH5034,CP6006
P1065,C2214,T3044,PM4012,SH5049,CP6007
P1024,C2373,T3320,PM4049,SH5038,CP6003
P1057,C2099,T3650,PM4013,SH5020,CP6011
P1040,C2048,T3325,PM4049,SH5048,CP6011
P1005,C2200,T3147,PM4001,SH5027,CP6016
P1074,C2435,T3354,PM4033,SH5031,CP6018
P1037,C2257,T3235,PM4034,SH5043,CP6008
P1005,C2479,T3702,PM4036,SH5015,CP6011
P1044,C2375,T3612,PM4024,SH5009,CP6016
P1074,C2177,T3104,PM4047,SH5022,CP6009
P1013,C2244,T3473,PM4014,SH5047,CP6018
P1065,C2122,T3395,PM4011,SH5049,CP6010
P1039,C2341,T3445,PM4008,SH5014,CP6019
P1002,C2170,T3605,PM4030,SH5042,CP6012
P1098,C2332,T3219,PM4013,SH5049,CP6003
P1096,C2135,T3441,PM4028,SH5005,CP6014
P1023,C2058,T3644,PM4047,SH5032,CP6011
P1018,C2192,T3666,PM4042,SH5038,CP6009
P1017,C2464,T3027,PM4037,SH5011,CP6006
P1063,C2267,T3474,PM4041,SH5035,CP6001
P1087,C2259,T3627,PM4007,SH5030,CP6006
P1034,C2372,T3304,PM4047,SH5009,CP6007
P1061,C2460,T3404,PM4002,SH5033,CP6018
P1000,C2094,T3512,PM4001,SH5040,CP6005
P1099,C2124,T3501,PM4015,SH5009,CP6007
P1024,C2040,T3347,PM4018,SH5010,CP6019
P1044,C2378,T3239,PM4029,SH5013,CP6003
P1048,C2253,T3569,PM4040,SH5002,CP6019
P1097,C2006,T3694,PM4015,SH5032,CP6008
P1088,C2470,T3336,PM4030,SH5006,CP6004
P1015,C2215,T3025,PM4027,SH5003,CP6005
P1097,C2068,T3408,PM4003,SH5038,CP6018
P1092,C2068,T3076,PM4009,SH5047,CP6011
P1018,C2080,T3216,PM4044,SH5009,CP6004
P1022,C2029,T3327,PM4017,SH5014,CP6004
P1082,C2072,T3022,PM4046,SH5015,CP6017
P1024,C2261,T3669,PM4031,SH5037,CP6005
P1015,C2088,T3717,PM4029,SH5003,CP6008
P1053,C2402,T3309,PM4035,SH5003,CP6010
P1072,C2207,T3598,PM4008,SH5035,CP6013
P1000,C2212,T3266,PM4035,SH5026,CP6001
P1041,C2321,T3414,PM4028,SH5021,CP6013
P1018,C2265,T3645,PM4015,SH5021,CP6018
P1096,C2399,T3266,PM4027,SH5016,CP6009
P1033,C2292,T3332,PM4020,SH5044,CP6004
P1079,C2206,T3449,PM4046,SH5033,CP6003
P1054,C2332,T3564,PM4001,SH5031,CP6006
P1017,C2076,T3610,PM4045,SH5005,CP6012
P1033,C2287,T3246,PM4034,SH5032,CP6009
P1088,C2492,T3035,PM4027,SH5007,CP6009
P1044,C2046,T3400,PM4035,SH5049,CP6003
P1005,C2109,T3027,PM4030,SH5035,CP6015
P1020,C2199,T3219,PM4032,SH5004,CP6014
P1069,C2426,T3405,PM4022,SH5004,CP6010
P1095,C2209,T3613,PM4040,SH5046,CP6018
P1047,C2375,T3270,PM4016,SH5009,CP6002
P1038,C2419,T3650,PM4045,SH5039,CP6014
P1030,C2153,T3510,PM4048,SH5006,CP6015
P1009,C2009,T3285,PM4000,SH5011,CP6013
P1029,C2414,T3453,PM4041,SH5029,CP6004
P1017,C2352,T3316,PM4022,SH5024,CP6016
P1059,C2156,T3589,PM4047,SH5027,CP6017
P1087,C2260,T3296,PM4026,SH5042,CP6018
P1072,C2076,T3337,PM4024,SH5012,CP6000
P1094,C2256,T3306,PM4031,SH5046,CP6008
P1014,C2470,T3427,PM4018,SH5048,CP6013
P1003,C2487,T3350,PM4023,SH5021,CP6019
P1062,C2130,T3510,PM4002,SH5017,CP6019
P1039,C2066,T3524,PM4011,SH5026,CP6010
P1008,C2454,T3491,PM4034,SH5007,CP6001
P1008,C2227,T3593,PM4014,SH5005,CP6019
P1025,C2162,T3008,PM4016,SH5010,CP6004
P1003,C2014,T3496,PM4049,SH5028,CP6014
P1080,C2231,T3724,PM4031,SH5040,CP6011
P1015,C2194,T3559,PM4006,SH5004,CP6013
P1014,C2348,T3560,PM4018,SH5006,CP6010
P1098,C2029,T3439,PM4006,SH5021,CP6008
P1051,C2358,T3551,PM4004,SH5046,CP6019
P1068,C2337,T3107,PM4039,SH5003,CP6007
P1004,C2330,T3244,PM4020,SH5031,CP6011
P1019,C2426,T3254,PM4047,SH5018,CP6002
P1078,C2496,T3032,PM4047,SH5044,CP6014
P1017,C2315,T3022,PM4046,SH5032,CP6007
P1001,C2485,T3565,PM4006,SH5000,CP6006
P1092,C2295,T3048,PM4036,SH5045,CP6016
P1012,C2448,T3461,PM4022,SH5040,CP6011
P1003,C2412,T3589,PM4010,SH5043,CP6019
P1041,C2329,T3335,PM4009,SH5049,CP6017
P1073,C2219,T3357,PM4020,SH5040,CP6017
P1060,C2376,T3121,PM4040,SH5007,CP6014
P1094,C2478,T3443,PM4032,SH5031,CP6002
P1007,C2146,T3358,PM4019,SH5029,CP6018
P1066,C2258,T3601,PM4032,SH5045,CP6014
P1062,C2291,T3345,PM4039,SH5027,CP6015
P1008,C2298,T3192,PM4034,SH5040,CP6016
P1093,C2142,T3415,PM4033,SH5031,CP6000
P1010,C2480,T3376,PM4035,SH5024,CP6010
P1098,C2424,T3462,PM4026,SH5033,CP6005
P1041,C2234,T3660,PM4018,SH5032,CP6008
P1012,C2114,T3145,PM4042,SH5012,CP6019
P1035,C2364,T3477,PM4004,SH5024,CP6015
P1012,C2089,T3652,PM4028,SH5041,CP6005
P1011,C2207,T3407,PM4009,SH5039,CP6011
P1036,C2163,T3285,PM4039,SH5038,CP6018
P1073,C2480,T3110,PM4012,SH5043,CP6012
P1072,C2083,T3619,PM4028,SH5048,CP6012
P1051,C2076,T3049,PM4004,SH5043,CP6003
P1070,C2160,T3013,PM4011,SH5047,CP6008
P1001,C2004,T3133,PM4012,SH5009,CP6013
P1055,C2484,T3587,PM4021,SH5030,CP6013
P1059,C2077,T3595,PM4039,SH5043,CP6016
P1022,C2090,T3342,PM4014,SH5010,CP6004
P1039,C2086,T3669,PM4012,SH5024,CP6018
P1063,C2269,T3285,PM4000,SH5045,CP6001
P1084,C2103,T3313,PM4037,SH5044,CP6012
P1022,C2451,T3605,PM4042,SH5033,CP6010
P1028,C2486,T3296,PM4044,SH5019,CP6001
P1077,C2499,T3605,PM4000,SH5006,CP6000
P1089,C2338,T3568,PM4010,SH5032,CP6002
P1050,C2174,T3163,PM4042,SH5034,CP6011
P1068,C2053,T3496,PM4039,SH5028,CP6006
P1094,C2387,T3609,PM4021,SH5011,CP6000
P1088,C2477,T3015,PM4034,SH5004,CP6008
P1030,C2210,T3343,PM4043,SH5011,CP6017
P1049,C2094,T3077,PM4005,SH5028,CP6019
P1019,C2222,T3345,PM4027,SH5034,CP6005
P1054,C2008,T3071,PM4030,SH5019,CP6008
P1080,C2052,T3269,PM4007,SH5036,CP6007
P1001,C2076,T3286,PM4004,SH5000,CP6017
P1024,C2205,T3065,PM4041,SH5015,CP6014
P1012,C2315,T3067,PM4047,SH5029,CP6000
P1091,C2301,T3192,PM4043,SH5008,CP6013
P1069,C2309,T3054,PM4016,SH5041,CP6017
P1066,C2329,T3378,PM4037,SH5009,CP6018
P1057,C2111,T3167,PM4008,SH5012,CP6018
P1098,C2350,T3408,PM4009,SH5047,CP6009
P1081,C2164,T3507,PM4019,SH5019,CP6019
P1074,C2278,T3536,PM4013,SH5028,CP6005
P1083,C2026,T3642,PM4013,SH5003,CP6016
P1063,C2069,T3101,PM4025,SH5045,CP6013
P1068,C2217,T3421,PM4028,SH5048,CP6012
P1082,C2449,T3477,PM4048,SH5027,CP6007
P1085,C2364,T3119,PM4026,SH5036,CP6009
P1058,C2188,T3290,PM4024,SH5012,CP6008
P1059,C2332,T3487,PM4015,SH5002,CP6004
P1082,C2434,T3160,PM4035,SH5036,CP6003
P1061,C2305,T3672,PM4033,SH5047,CP6005
P1015,C2123,T3077,PM4015,SH5018,CP6005
P1087,C2018,T3037,PM4032,SH5027,CP6012
P1067,C2256,T3393,PM4002,SH5018,CP6003
P1014,C2295,T3440,PM4022,SH5016,CP6007
P1088,C2415,T3539,PM4010,SH5017,CP6004
P1054,C2021,T3461,PM4047,SH5017,CP6001
P1034,C2367,T3611,PM4017,SH5022,CP6008
P1054,C2476,T3293,PM4046,SH5039,CP6010
P1013,C2449,T3399,PM4040,SH5049,CP6019
P1048,C2039,T3635,PM4043,SH5008,CP6019
P1082,C2037,T3091,PM4028,SH5028,CP6010
P1099,C2047,T3608,PM4049,SH5041,CP6006
P1006,C2182,T3005,PM4004,SH5028,CP6013
P1029,C2074,T3680,PM4023,SH5001,CP6005
P1082,C2208,T3270,PM4028,SH5016,CP6003
P1048,C2182,T3619,PM4028,SH5044,CP6005
P1088,C2434,T3558,PM4025,SH5030,CP6002
P1015,C2106,T3098,PM4039,SH5027,CP6005
P1050,C2187,T3525,PM4002,SH5042,CP6002
P1071,C2263,T3193,PM4001,SH5047,CP6000
P1081,C2085,T3156,PM4024,SH5038,CP6017
P1091,C2323,T3665,PM4018,SH5029,CP6003
P1079,C2330,T3114,PM4039,SH5034,CP6005
P1082,C2455,T3395,PM4001,SH5047,CP6016
P1041,C2136,T3656,PM4018,SH5019,CP6017
P1016,C2345,T3521,PM4000,SH5015,CP6005
P1062,C2385,T3213,PM4026,SH5033,CP6001
P1044,C2335,T3682,PM4044,SH5013,CP6011
P1076,C2094,T3532,PM4048,SH5025,CP6011
P1006,C2325,T3014,PM4034,SH5019,CP6003
P1026,C2244,T3418,PM4040,SH5041,CP6015
P1009,C2468,T3367,PM4004,SH5023,CP6019
P1033,C2089,T3637,PM4037,SH5042,CP6009
P1035,C2058,T3212,PM4003,SH5017,CP6009
P1024,C2402,T3699,PM4016,SH5042,CP6006
P1005,C2027,T3683,PM4020,SH5008,CP6013
P1023,C2071,T3004,PM4047,SH5018,CP6006
P1017,C2269,T3230,PM4030,SH5019,CP6011
P1086,C2023,T3200,PM4047,SH5041,CP6010
P1005,C2111,T3401,PM4021,SH5029,CP6016
P1028,C2299,T3148,PM4010,SH5025,CP6010
P1024,C2484,T3583,PM4033,SH5030,CP6002
P1054,C2055,T3491,PM4048,SH5034,CP6018
P1080,C2473,T3225,PM4014,SH5002,CP6003
P1045,C2222,T3585,PM4049,SH5039,CP6007
P1023,C2119,T3168,PM4009,SH5028,CP6013
P1074,C2178,T3151,PM4037,SH5005,CP6019
P1025,C2287,T3223,PM4031,SH5000,CP6013
P1097,C2433,T3503,PM4047,SH5023,CP6015
P1027,C2424,T3549,PM4030,SH5037,CP6014
P1002,C2449,T3043,PM4036,SH5033,CP6011
P1074,C2280,T3696,PM4043,SH5006,CP6015
P1037,C2371,T3503,PM4027,SH5010,CP6019
P1060,C2491,T3240,PM4030,SH5010,CP6018
P1077,C2188,T3350,PM4005,SH5035,CP6004
P1050,C2065,T3721,PM4013,SH5019,CP6011
P1089,C2297,T3022,PM4022,SH5015,CP6004
P1047,C2448,T3635,PM4015,SH5004,CP6009
P1020,C2419,T3597,PM4024,SH5023,CP6016
P1053,C2248,T3042,PM4038,SH5029,CP6014
P1055,C2075,T3465,PM4001,SH5029,CP6007
P1093,C2136,T3039,PM4037,SH5038,CP6007
P1058,C2163,T3302,PM4040,SH5047,CP6007
P1071,C2232,T3680,PM4038,SH5046,CP6009
P1050,C2254,T3174,PM4033,SH5036,CP6019
P1019,C2475,T3531,PM4039,SH5032,CP6012
P1095,C2293,T3460,PM4042,SH5019,CP6015
P1085,C2416,T3620,PM4024,SH5021,CP6008
P1058,C2169,T3192,PM4035,SH5040,CP6015
P1070,C2316,T3243,PM4015,SH5020,CP6009
P1008,C2173,T3279,PM4017,SH5036,CP6002
P1000,C2469,T3035,PM4012,SH5026,CP6013
P1028,C2344,T3556,PM4036,SH5037,CP6012
P1062,C2444,T3539,PM4026,SH5034,CP6003
P1071,C2017,T3153,PM4033,SH5037,CP6003
P1055,C2069,T3022,PM4010,SH5039,CP6005
P1067,C2337,T3718,PM4000,SH5005,CP6018
P1034,C2115,T3090,PM4012,SH5031,CP6010
P1002,C2079,T3389,PM4029,SH5015,CP6007
P1006,C2014,T3358,PM4004,SH5027,CP6013
P1026,C2175,T3549,PM4017,SH5015,CP6007
P1000,C2455,T3227,PM4013,SH5026,CP6013
P1090,C2268,T3201,PM4012,SH5002,CP6006
P1079,C2118,T3349,PM4031,SH5048,CP6017
P1070,C2298,T3037,PM4006,SH5020,CP6011
P1043,C2187,T3499,PM4007,SH5037,CP6013
P1086,C2056,T3698,PM4049,SH5037,CP6014
P1040,C2198,T3042,PM4006,SH5029,CP6017
P1074,C2016,T3625,PM4048,SH5021,CP6011
P1041,C2433,T3516,PM4015,SH5018,CP6009
P1032,C2287,T3067,PM4042,SH5030,CP6011
P1049,C2405,T3122,PM4030,SH5019,CP6007
P1062,C2054,T3684,PM4026,SH5046,CP6005
P1099,C2498,T3335,PM4032,SH5018,CP6018
P1036,C2440,T3152,PM4028,SH5001,CP6000
P1058,C2268,T3668,PM4007,SH5039,CP6012
P1080,C2302,T3161,PM4032,SH5038,CP6015
P1098,C2086,T3213,PM4040,SH5026,CP6017
P1047,C2317,T3375,PM4018,SH5007,CP6011
P1004,C2437,T3442,PM4020,SH5044,CP6004
P1047,C2028,T3422,PM4040,SH5026,CP6012
P1095,C2021,T3537,PM4020,SH5014,CP6007
P1002,C2320,T3700,PM4024,SH5011,CP6005
P1046,C2284,T3633,PM4041,SH5046,CP6002
